,gnd,record_number
801,gnd/120777193,116018
802,gnd/120777193,116020
803,gnd/120777193,116042
804,gnd/120777193,116294
805,gnd/120777193,117093
806,gnd/120777193,117103
807,gnd/120777193,117730
808,gnd/120777193,117731
809,gnd/120777193,117732
810,gnd/120777193,117733
811,gnd/120777193,117734
812,gnd/120777193,117735
813,gnd/120777193,117736
814,gnd/120777193,117737
815,gnd/120777193,117738
816,gnd/120777193,118102
817,gnd/120777193,118294
818,gnd/120777193,118295
819,gnd/120777193,118812
820,gnd/120777193,118816
821,gnd/120777193,118818
822,gnd/120777193,119573
823,gnd/120777193,120137
824,gnd/120777193,120337
825,gnd/120777193,120539
826,gnd/120777193,120700
827,gnd/120777193,120701
828,gnd/120777193,120702
829,gnd/120777193,120703
830,gnd/120777193,120704
831,gnd/120777193,120705
832,gnd/120777193,120706
833,gnd/120777193,120707
834,gnd/120777193,120708
835,gnd/120777193,120710
836,gnd/120777193,120711
837,gnd/120777193,120712
838,gnd/120777193,120713
839,gnd/120777193,120714
840,gnd/120777193,120715
841,gnd/120777193,120716
842,gnd/120777193,120732
843,gnd/120777193,120733
844,gnd/120777193,120734
845,gnd/120777193,120735
846,gnd/120777193,121138
847,gnd/120777193,121447
848,gnd/120777193,121448
849,gnd/120777193,121449
850,gnd/120777193,121450
851,gnd/120777193,121452
852,gnd/120777193,121453
853,gnd/120777193,121454
854,gnd/120777193,122369
855,gnd/120777193,122370
856,gnd/120777193,122371
857,gnd/120777193,123076
858,gnd/120777193,123140
859,gnd/120777193,123141
860,gnd/120777193,123142
861,gnd/120777193,123143
862,gnd/120777193,123431
863,gnd/120777193,123557
864,gnd/120777193,123717
865,gnd/120777193,123836
866,gnd/120777193,124100
867,gnd/120777193,124244
868,gnd/120777193,124928
869,gnd/120777193,124944
870,gnd/120777193,127066
871,gnd/120777193,127068
872,gnd/120777193,127069
873,gnd/120777193,127070
874,gnd/120777193,127071
875,gnd/120777193,127279
876,gnd/120777193,127808
877,gnd/120777193,127907
878,gnd/120777193,127908
879,gnd/120777193,127909
880,gnd/120777193,128168
881,gnd/120777193,128169
882,gnd/120777193,128170
883,gnd/120777193,128431
884,gnd/120777193,128826
885,gnd/120777193,128859
886,gnd/120777193,129512
887,gnd/120777193,129513
888,gnd/120777193,129743
889,gnd/120777193,129744
890,gnd/120777193,129745
891,gnd/120777193,129746
892,gnd/120777193,129747
893,gnd/120777193,129748
894,gnd/120777193,129749
895,gnd/120777193,129810
896,gnd/120777193,129996
897,gnd/120777193,130048
898,gnd/120777193,130226
899,gnd/120777193,130268
900,gnd/120777193,130340
901,gnd/120777193,130420
902,gnd/120777193,130798
903,gnd/120777193,130906
904,gnd/120777193,130919
905,gnd/120777193,130938
906,gnd/120777193,131340
907,gnd/120777193,131341
908,gnd/120777193,131342
909,gnd/120777193,131343
910,gnd/120777193,131344
911,gnd/120777193,131345
912,gnd/120777193,131346
913,gnd/120777193,131347
914,gnd/120777193,131348
915,gnd/120777193,131666
916,gnd/120777193,132757
917,gnd/120777193,132761
918,gnd/120777193,132762
919,gnd/120777193,132763
920,gnd/120777193,132764
921,gnd/120777193,132765
922,gnd/120777193,132766
923,gnd/120777193,132767
924,gnd/120777193,132768
925,gnd/120777193,132769
926,gnd/120777193,132770
927,gnd/120777193,132771
928,gnd/120777193,133251
929,gnd/120777193,133252
930,gnd/120777193,133253
931,gnd/120777193,133255
932,gnd/120777193,133256
933,gnd/120777193,134748
934,gnd/120777193,134749
935,gnd/120777193,134750
936,gnd/120777193,134751
937,gnd/120777193,134752
938,gnd/120777193,134753
939,gnd/120777193,134754
940,gnd/120777193,134755
941,gnd/120777193,134756
942,gnd/120777193,135060
943,gnd/120777193,135214
944,gnd/120777193,135272
945,gnd/120777193,135273
946,gnd/120777193,135275
947,gnd/120777193,135276
948,gnd/120777193,135278
949,gnd/120777193,135631
950,gnd/120777193,135805
951,gnd/120777193,135885
952,gnd/120777193,135887
953,gnd/120777193,138056
954,gnd/120777193,138057
955,gnd/120777193,138058
956,gnd/120777193,138097
957,gnd/120777193,138222
958,gnd/120777193,138223
959,gnd/120777193,138561
960,gnd/120777193,138562
961,gnd/120777193,140664
962,gnd/120777193,140935
963,gnd/120777193,140936
964,gnd/120777193,140937
965,gnd/120777193,140938
966,gnd/120777193,140939
967,gnd/120777193,141159
968,gnd/120777193,141161
969,gnd/120777193,141576
970,gnd/120777193,141996
971,gnd/120777193,141997
972,gnd/120777193,143523
973,gnd/120777193,143938
974,gnd/120777193,143940
975,gnd/120777193,143941
976,gnd/120777193,145921
977,gnd/120777193,146163
978,gnd/120777193,149759
979,gnd/120777193,178306
980,gnd/120777193,178307
981,gnd/120777193,178308
982,gnd/120777193,178309
983,gnd/120777193,178310
984,gnd/120777193,178311
985,gnd/120777193,179772
986,gnd/120777193,182529
987,gnd/120777193,182530
988,gnd/120777193,182531
989,gnd/120777193,182532
990,gnd/120777193,182533
991,gnd/120777193,182534
992,gnd/120777193,182535
993,gnd/120777193,183341
994,gnd/120777193,186448
995,gnd/120777193,233332
996,gnd/120777193,238275
997,gnd/120777193,244446
998,gnd/120777193,267430
999,gnd/120745968,34681
1000,gnd/120745968,45664
1001,gnd/120305879,21633
1002,gnd/120305879,26067
1003,gnd/120305879,37261
1004,gnd/120305879,52360
1005,gnd/120305879,65691
1006,gnd/120305879,87278
1007,gnd/120305879,96000
1008,gnd/120304449,86489
1009,gnd/120286920,280343
1010,gnd/120286920,282200
1011,gnd/120159481,50277
1012,gnd/120145812,4188
1013,gnd/120145812,4226
1014,gnd/120145812,6261
1015,gnd/120145812,9584
1016,gnd/120145812,9585
1017,gnd/120145812,10150
1018,gnd/120145812,15367
1019,gnd/120145812,17056
1020,gnd/120145812,17110
1021,gnd/120145812,17112
1022,gnd/120145812,18903
1023,gnd/120145812,21012
1024,gnd/120145812,21066
1025,gnd/120145812,21521
1026,gnd/120145812,21550
1027,gnd/120145812,26038
1028,gnd/120145812,26347
1029,gnd/120145812,26353
1030,gnd/120145812,26423
